Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
AzureFunctionsUpgrade.0002,Enable the use of the V2 model for Azure Functions projects and enable Application Insights.,Active,Mandatory,3,Api\Api.csproj,File,Api\Api.csproj,,,,,,,,
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Api\Api.csproj,File,Api\Api.csproj,,,Microsoft.Extensions.Caching.Memory 10.0.1,,,,,"Microsoft.Extensions.Caching.Memory, 10.0.1  Recommendation:  Remove Microsoft.Extensions.Caching.Memory, and replace with new package Microsoft.Extensions.Caching.Memory 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Api\Api.csproj,File,Api\Api.csproj,,,Microsoft.Extensions.Http 10.0.1,,,,,"Microsoft.Extensions.Http, 10.0.1  Recommendation:  Remove Microsoft.Extensions.Http, and replace with new package Microsoft.Extensions.Http 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Api\Api.csproj,File,Api\Api.csproj,,,System.Text.Encodings.Web 10.0.1,,,,,"System.Text.Encodings.Web, 10.0.1  Recommendation:  Remove System.Text.Encodings.Web, and replace with new package System.Text.Encodings.Web 10.0.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Api\Api.csproj,File,Api\Api.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Api\Api.csproj,File,Api\Program.cs,4,0,T:Microsoft.Extensions.Hosting.HostBuilder,,,,,var host = new HostBuilder()      .ConfigureFunctionsWebApplication()      .ConfigureServices(services =>      {          services.AddApplicationInsightsTelemetryWorkerService();          services.ConfigureFunctionsApplicationInsights();      })      .Build();
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,MeterDataLib\MeterDataLib.csproj,File,MeterDataLib\MeterDataLib.csproj,,,Microsoft.Extensions.Logging.Abstractions 10.0.1,,,,,"Microsoft.Extensions.Logging.Abstractions, 10.0.1  Recommendation:  Remove Microsoft.Extensions.Logging.Abstractions, and replace with new package Microsoft.Extensions.Logging.Abstractions 10.0.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,MeterDataLib\MeterDataLib.csproj,File,MeterDataLib\MeterDataLib.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Client\MeterKloud.csproj,File,Client\MeterKloud.csproj,,,Microsoft.AspNetCore.Components.WebAssembly 9.0.11,,,,,"Microsoft.AspNetCore.Components.WebAssembly, 9.0.11  Recommendation:  Remove Microsoft.AspNetCore.Components.WebAssembly, and replace with new package Microsoft.AspNetCore.Components.WebAssembly 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Client\MeterKloud.csproj,File,Client\MeterKloud.csproj,,,Microsoft.AspNetCore.Components.WebAssembly.Authentication 9.0.11,,,,,"Microsoft.AspNetCore.Components.WebAssembly.Authentication, 9.0.11  Recommendation:  Remove Microsoft.AspNetCore.Components.WebAssembly.Authentication, and replace with new package Microsoft.AspNetCore.Components.WebAssembly.Authentication 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Client\MeterKloud.csproj,File,Client\MeterKloud.csproj,,,Microsoft.AspNetCore.Components.WebAssembly.DevServer 9.0.11,,,,,"Microsoft.AspNetCore.Components.WebAssembly.DevServer, 9.0.11  Recommendation:  Remove Microsoft.AspNetCore.Components.WebAssembly.DevServer, and replace with new package Microsoft.AspNetCore.Components.WebAssembly.DevServer 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Client\MeterKloud.csproj,File,Client\MeterKloud.csproj,,,Microsoft.Extensions.Caching.Memory 10.0.1,,,,,"Microsoft.Extensions.Caching.Memory, 10.0.1  Recommendation:  Remove Microsoft.Extensions.Caching.Memory, and replace with new package Microsoft.Extensions.Caching.Memory 10.0.3"
