NMI,METER SERIAL NUMBER,CON/GEN,DATE,ESTIMATED?,00:00 - 00:30,00:30 - 01:00,01:00 - 01:30,01:30 - 02:00,02:00 - 02:30,02:30 - 03:00,03:00 - 03:30,03:30 - 04:00,04:00 - 04:30,04:30 - 05:00,05:00 - 05:30,05:30 - 06:00,06:00 - 06:30,06:30 - 07:00,07:00 - 07:30,07:30 - 08:00,08:00 - 08:30,08:30 - 09:00,09:00 - 09:30,09:30 - 10:00,10:00 - 10:30,10:30 - 11:00,11:00 - 11:30,11:30 - 12:00,12:00 - 12:30,12:30 - 13:00,13:00 - 13:30,13:30 - 14:00,14:00 - 14:30,14:30 - 15:00,15:00 - 15:30,15:30 - 16:00,16:00 - 16:30,16:30 - 17:00,17:00 - 17:30,17:30 - 18:00,18:00 - 18:30,18:30 - 19:00,19:00 - 19:30,19:30 - 20:00,20:00 - 20:30,20:30 - 21:00,21:00 - 21:30,21:30 - 22:00,22:00 - 22:30,22:30 - 23:00,23:00 - 23:30,23:30 - 00:00
61029293722,A8395168,Consumption,21/05/2015,No,0.184,0.156,0.13,0.168,0.132,0.199,0.103,0.176,0.108,0.254,0.144,0.232,0.23,0.179,1.242,0.622,1.28,1.656,0.532,0.693,0.058,0.159,0.031,0.001,0,0.004,0.005,0.717,0.426,1.364,0.788,0.852,0.435,0.724,1.763,2.244,2.015,3.071,1.668,1.369,1.576,1.584,2.021,1.587,0.48,0.256,0.12,0.193
61029293722,A8395168,Generation,21/05/2015,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071,0.087,0,0.187,0.288,0.608,0.121,0.106,0.008,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61029293722,A8395168,Consumption,22/05/2015,No,0.154,0.178,0.126,0.157,0.168,0.15,0.169,0.106,0.175,0.149,0.161,0.207,0.371,0.67,0.503,0.397,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092,0.523,0.584,0.618,0.904,1.736,1.215,2.157,1.876,1.838,1.341,1.269,1.497,0.845,0.588,0.727,0.363
61029293722,A8395168,Generation,22/05/2015,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0.074,0.164,0.154,0.294,0.478,0.321,0.451,0.422,0.488,0.523,0.383,0.322,0.201,0.087,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61029293722,A8395168,Consumption,23/05/2015,No,0.218,0.138,0.152,0.151,0.142,0.193,0.114,0.269,0.104,0.235,0.114,0.194,0.123,0.186,0.914,0.967,1.199,1.192,0.194,0.082,0.155,0.143,0.037,0,0.015,0,0.028,0.204,0.125,0.291,0.247,0.221,0.408,0.69,0.526,0.532,0.635,0.532,0.756,1.277,1.199,1.808,1.54,1.031,0.427,0.168,0.177,0.181
61029293722,A8395168,Generation,23/05/2015,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.001,0.009,0.142,0.359,0.703,0.553,0.586,0.494,0.535,0.189,0.064,0.007,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61029293722,A8395168,Consumption,24/05/2015,No,0.19,0.34,0.121,0.182,0.133,0.175,0.182,0.338,0.243,0.23,0.14,0.223,0.139,0.257,0.45,0.539,0.511,0.405,0.217,0.088,0.174,0.147,0.19,0.013,0.737,0.022,0.004,0.189,0.265,0.4,0.244,0.268,0.62,0.63,0.603,0.68,0.862,1.423,0.687,0.669,0.63,0.702,0.649,0.757,0.384,0.747,0.351,0.166
61029293722,A8395168,Generation,24/05/2015,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0.078,0.291,0.161,0.266,0.012,0.171,0.152,0.24,0.14,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61029293722,A8395168,Consumption,25/05/2015,No,0.153,0.167,0.184,0.177,0.128,0.185,0.196,0.244,0.109,0.185,0.111,0.239,0.172,0.491,0.687,0.617,0.489,0.133,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0.072,0.063,0.428,0.708,0.888,0.784,0.894,0.701,0.778,0.74,0.996,0.887,1.257,0.238,0.221,0.135,0.207
61029293722,A8395168,Generation,25/05/2015,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.127,0.069,0.153,0.144,0.187,0.717,0.801,0.637,0.616,0.452,0.244,0.161,0.03,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
