NMI,MeterSerial,Period,Local Time,E kWh at Meter,B kWh at Meter,kW,kVA,PF
4103750213,All,1,01/01/2017 00:00,19.184,0,38.368,39.934,0.961
4103750213,All,2,01/01/2017 00:30,17.872,0,35.744,36.945,0.967
4103750213,All,3,01/01/2017 01:00,18.288,0,36.576,37.831,0.967
4103750213,All,4,01/01/2017 01:30,18.112,0,36.224,37.618,0.963
4103750213,All,5,01/01/2017 02:00,17.52,0,35.04,36.374,0.963
4103750213,All,6,01/01/2017 02:30,17.184,0,34.368,35.453,0.969
4103750213,All,7,01/01/2017 03:00,17.376,0,34.752,36.105,0.963
4103750213,All,8,01/01/2017 03:30,16.784,0,33.568,34.785,0.965
4103750213,All,9,01/01/2017 04:00,16.832,0,33.664,34.82,0.967
4103750213,All,10,01/01/2017 04:30,16.512,0,33.024,34.26,0.964
4103750213,All,11,01/01/2017 05:00,16.288,0,32.576,33.514,0.972
4103750213,All,12,01/01/2017 05:30,17.408,0,34.816,36.081,0.965
4103750213,All,13,01/01/2017 06:00,17.248,0,34.496,35.585,0.969
4103750213,All,14,01/01/2017 06:30,16.64,0,33.28,34.515,0.964
4103750213,All,15,01/01/2017 07:00,18.08,0,36.16,37.922,0.954
4103750213,All,16,01/01/2017 07:30,19.76,0,39.52,41.068,0.962
4103750213,All,17,01/01/2017 08:00,20.64,0,41.28,43.276,0.954
4103750213,All,18,01/01/2017 08:30,19.616,0,39.232,40.713,0.964
4103750213,All,19,01/01/2017 09:00,22.128,0,44.256,46.061,0.961
4103750213,All,20,01/01/2017 09:30,22.528,0,45.056,47.009,0.958
4103750213,All,21,01/01/2017 10:00,21.648,0,43.296,45.231,0.957
4103750213,All,22,01/01/2017 10:30,21.728,0,43.456,45.44,0.956
4103750213,All,23,01/01/2017 11:00,21.376,0,42.752,44.834,0.954
4103750213,All,24,01/01/2017 11:30,21.76,0,43.52,45.539,0.956
4103750213,All,25,01/01/2017 12:00,21.696,0,43.392,45.388,0.956
4103750213,All,26,01/01/2017 12:30,21.808,0,43.616,45.528,0.958
4103750213,All,27,01/01/2017 13:00,21.872,0,43.744,45.809,0.955
4103750213,All,28,01/01/2017 13:30,22.496,0,44.992,46.957,0.958
4103750213,All,29,01/01/2017 14:00,22.576,0,45.152,47.046,0.96
4103750213,All,30,01/01/2017 14:30,22.48,0,44.96,47.075,0.955
4103750213,All,31,01/01/2017 15:00,21.68,0,43.36,45.472,0.954
4103750213,All,32,01/01/2017 15:30,21.6,0,43.2,45.205,0.956
4103750213,All,33,01/01/2017 16:00,23.12,0,46.24,48.217,0.959
4103750213,All,34,01/01/2017 16:30,22.416,0,44.832,47.02,0.953
4103750213,All,35,01/01/2017 17:00,22.928,0,45.856,47.821,0.959
4103750213,All,36,01/01/2017 17:30,22.432,0,44.864,46.77,0.959
4103750213,All,37,01/01/2017 18:00,21.552,0,43.104,45.326,0.951
4103750213,All,38,01/01/2017 18:30,22.832,0,45.664,47.692,0.957
4103750213,All,39,01/01/2017 19:00,22.272,0,44.544,46.659,0.955
4103750213,All,40,01/01/2017 19:30,22,0,44,46.14,0.954
4103750213,All,41,01/01/2017 20:00,21.904,0,43.808,46.104,0.95
4103750213,All,42,01/01/2017 20:30,21.184,0,42.368,44.468,0.953
4103750213,All,43,01/01/2017 21:00,20.432,0,40.864,42.635,0.958
4103750213,All,44,01/01/2017 21:30,20.016,0,40.032,41.951,0.954
4103750213,All,45,01/01/2017 22:00,20.128,0,40.256,42.006,0.958
4103750213,All,46,01/01/2017 22:30,19.6,0,39.2,41.1,0.954
4103750213,All,47,01/01/2017 23:00,19.504,0,39.008,40.84,0.955
4103750213,All,48,01/01/2017 23:30,19.36,0,38.72,40.623,0.953
4103750213,All,1,02/01/2017 00:00,17.104,0,34.208,35.411,0.966
4103750213,All,2,02/01/2017 00:30,15.696,0,31.392,32.403,0.969
4103750213,All,3,02/01/2017 01:00,15.584,0,31.168,32.123,0.97
4103750213,All,4,02/01/2017 01:30,15.28,0,30.56,31.36,0.974
4103750213,All,5,02/01/2017 02:00,15.296,0,30.592,31.457,0.972
4103750213,All,6,02/01/2017 02:30,15.28,0,30.56,31.382,0.974
4103750213,All,7,02/01/2017 03:00,15.616,0,31.232,32.058,0.974
4103750213,All,8,02/01/2017 03:30,15.488,0,30.976,31.853,0.972
4103750213,All,9,02/01/2017 04:00,15.632,0,31.264,32.126,0.973
4103750213,All,10,02/01/2017 04:30,15.6,0,31.2,32.056,0.973
4103750213,All,11,02/01/2017 05:00,15.824,0,31.648,32.537,0.973
4103750213,All,12,02/01/2017 05:30,16.336,0,32.672,33.803,0.967
4103750213,All,13,02/01/2017 06:00,18.704,0,37.408,38.81,0.964
4103750213,All,14,02/01/2017 06:30,18.88,0,37.76,39.341,0.96
4103750213,All,15,02/01/2017 07:00,18.896,0,37.792,39.172,0.965
4103750213,All,16,02/01/2017 07:30,21.296,0,42.592,44.156,0.965
4103750213,All,17,02/01/2017 08:00,24.464,0,48.928,50.416,0.97
4103750213,All,18,02/01/2017 08:30,22.752,0,45.504,47.201,0.964
4103750213,All,19,02/01/2017 09:00,23.728,0,47.456,49.262,0.963
4103750213,All,20,02/01/2017 09:30,23.488,0,46.976,48.995,0.959
4103750213,All,21,02/01/2017 10:00,22.56,0,45.12,47.172,0.957
4103750213,All,22,02/01/2017 10:30,23.344,0,46.688,48.839,0.956
4103750213,All,23,02/01/2017 11:00,22.592,0,45.184,47.177,0.958
4103750213,All,24,02/01/2017 11:30,23.152,0,46.304,48.351,0.958
4103750213,All,25,02/01/2017 12:00,24.432,0,48.864,51.015,0.958
4103750213,All,26,02/01/2017 12:30,23.136,0,46.272,48.14,0.961
4103750213,All,27,02/01/2017 13:00,22.448,0,44.896,46.81,0.959
4103750213,All,28,02/01/2017 13:30,22.976,0,45.952,47.868,0.96
4103750213,All,29,02/01/2017 14:00,21.856,0,43.712,45.602,0.959
4103750213,All,30,02/01/2017 14:30,23.328,0,46.656,48.661,0.959
4103750213,All,31,02/01/2017 15:00,22.784,0,45.568,47.573,0.958
4103750213,All,32,02/01/2017 15:30,22.512,0,45.024,47.07,0.957
4103750213,All,33,02/01/2017 16:00,23.328,0,46.656,48.716,0.958
4103750213,All,34,02/01/2017 16:30,22.624,0,45.248,47.285,0.957
4103750213,All,35,02/01/2017 17:00,23.536,0,47.072,49.244,0.956
4103750213,All,36,02/01/2017 17:30,23.136,0,46.272,48.518,0.954
4103750213,All,37,02/01/2017 18:00,22.8,0,45.6,47.878,0.952
4103750213,All,38,02/01/2017 18:30,21.808,0,43.616,45.932,0.95
4103750213,All,39,02/01/2017 19:00,22.112,0,44.224,46.549,0.95
4103750213,All,40,02/01/2017 19:30,23.344,0,46.688,49.061,0.952
4103750213,All,41,02/01/2017 20:00,21.584,0,43.168,45.547,0.948
4103750213,All,42,02/01/2017 20:30,20.592,0,41.184,43.118,0.955
4103750213,All,43,02/01/2017 21:00,19.952,0,39.904,41.679,0.957
4103750213,All,44,02/01/2017 21:30,20.08,0,40.16,41.797,0.961
4103750213,All,45,02/01/2017 22:00,20.496,0,40.992,42.597,0.962
4103750213,All,46,02/01/2017 22:30,19.28,0,38.56,40.309,0.957
4103750213,All,47,02/01/2017 23:00,19.632,0,39.264,41.113,0.955
4103750213,All,48,02/01/2017 23:30,19.056,0,38.112,40.054,0.952
4103750213,All,1,03/01/2017 00:00,17.216,0,34.432,35.703,0.964
4103750213,All,2,03/01/2017 00:30,15.904,0,31.808,32.73,0.972
4103750213,All,3,03/01/2017 01:00,15.664,0,31.328,32.271,0.971
4103750213,All,4,03/01/2017 01:30,15.584,0,31.168,32.139,0.97
4103750213,All,5,03/01/2017 02:00,15.664,0,31.328,32.406,0.967
4103750213,All,6,03/01/2017 02:30,15.792,0,31.584,32.504,0.972
4103750213,All,7,03/01/2017 03:00,15.584,0,31.168,32.147,0.97
4103750213,All,8,03/01/2017 03:30,15.68,0,31.36,32.31,0.971
4103750213,All,9,03/01/2017 04:00,15.632,0,31.264,32.156,0.972
4103750213,All,10,03/01/2017 04:30,16.032,0,32.064,32.905,0.974
4103750213,All,11,03/01/2017 05:00,15.552,0,31.104,32,0.972
4103750213,All,12,03/01/2017 05:30,19.328,0,38.656,40.21,0.961
4103750213,All,13,03/01/2017 06:00,19.36,0,38.72,39.877,0.971
4103750213,All,14,03/01/2017 06:30,19.28,0,38.56,39.76,0.97
4103750213,All,15,03/01/2017 07:00,22.016,0,44.032,45.207,0.974
4103750213,All,16,03/01/2017 07:30,20.896,0,41.792,43.021,0.971
4103750213,All,17,03/01/2017 08:00,22.832,0,45.664,47.628,0.959
4103750213,All,18,03/01/2017 08:30,21.824,0,43.648,45.468,0.96
4103750213,All,19,03/01/2017 09:00,22.752,0,45.504,47.367,0.961
4103750213,All,20,03/01/2017 09:30,20.608,0,41.216,42.677,0.966
4103750213,All,21,03/01/2017 10:00,22.176,0,44.352,46.372,0.956
4103750213,All,22,03/01/2017 10:30,21.888,0,43.776,45.663,0.959
4103750213,All,23,03/01/2017 11:00,20.96,0,41.92,43.925,0.954
4103750213,All,24,03/01/2017 11:30,22.224,0,44.448,46.417,0.958
4103750213,All,25,03/01/2017 12:00,23.728,0,47.456,49.384,0.961
4103750213,All,26,03/01/2017 12:30,21.92,0,43.84,45.949,0.954
4103750213,All,27,03/01/2017 13:00,21.808,0,43.616,45.745,0.953
4103750213,All,28,03/01/2017 13:30,23.488,0,46.976,48.95,0.96
4103750213,All,29,03/01/2017 14:00,22.8,0,45.6,47.753,0.955
4103750213,All,30,03/01/2017 14:30,22.016,0,44.032,46.277,0.951
4103750213,All,31,03/01/2017 15:00,22.416,0,44.832,46.953,0.955
4103750213,All,32,03/01/2017 15:30,22.704,0,45.408,47.522,0.956
4103750213,All,33,03/01/2017 16:00,22.64,0,45.28,47.353,0.956
4103750213,All,34,03/01/2017 16:30,23.408,0,46.816,49.037,0.955
4103750213,All,35,03/01/2017 17:00,23.776,0,47.552,49.722,0.956
4103750213,All,36,03/01/2017 17:30,23.728,0,47.456,49.492,0.959
4103750213,All,37,03/01/2017 18:00,22.96,0,45.92,48.058,0.956
4103750213,All,38,03/01/2017 18:30,22.336,0,44.672,46.772,0.955
4103750213,All,39,03/01/2017 19:00,22.88,0,45.76,47.702,0.959
4103750213,All,40,03/01/2017 19:30,22.096,0,44.192,46.135,0.958
4103750213,All,41,03/01/2017 20:00,22.448,0,44.896,46.976,0.956
4103750213,All,42,03/01/2017 20:30,21.264,0,42.528,44.171,0.963
4103750213,All,43,03/01/2017 21:00,20.24,0,40.48,42.14,0.961
4103750213,All,44,03/01/2017 21:30,19.984,0,39.968,41.667,0.959
4103750213,All,45,03/01/2017 22:00,19.552,0,39.104,40.989,0.954
4103750213,All,46,03/01/2017 22:30,19.312,0,38.624,40.417,0.956
4103750213,All,47,03/01/2017 23:00,19.568,0,39.136,40.897,0.957
4103750213,All,48,03/01/2017 23:30,18.912,0,37.824,39.402,0.96
4103750213,All,1,04/01/2017 00:00,16.144,0,32.288,33.295,0.97
4103750213,All,2,04/01/2017 00:30,15.984,0,31.968,32.848,0.973
4103750213,All,3,04/01/2017 01:00,16.912,0,33.824,34.894,0.969
4103750213,All,4,04/01/2017 01:30,15.744,0,31.488,32.359,0.973
4103750213,All,5,04/01/2017 02:00,16,0,32,32.864,0.974
4103750213,All,6,04/01/2017 02:30,16.368,0,32.736,33.574,0.975
4103750213,All,7,04/01/2017 03:00,15.872,0,31.744,32.615,0.973
4103750213,All,8,04/01/2017 03:30,15.792,0,31.584,32.452,0.973
4103750213,All,9,04/01/2017 04:00,17.184,0,34.368,35.368,0.972
4103750213,All,10,04/01/2017 04:30,15.936,0,31.872,32.689,0.975
4103750213,All,11,04/01/2017 05:00,17.52,0,35.04,35.927,0.975
4103750213,All,12,04/01/2017 05:30,18.912,0,37.824,39.103,0.967
4103750213,All,13,04/01/2017 06:00,19.104,0,38.208,39.388,0.97
4103750213,All,14,04/01/2017 06:30,20.672,0,41.344,42.711,0.968
4103750213,All,15,04/01/2017 07:00,22.592,0,45.184,46.622,0.969
4103750213,All,16,04/01/2017 07:30,22.16,0,44.32,45.737,0.969
4103750213,All,17,04/01/2017 08:00,22.32,0,44.64,46.528,0.959
4103750213,All,18,04/01/2017 08:30,21.36,0,42.72,44.254,0.965
4103750213,All,19,04/01/2017 09:00,21.088,0,42.176,43.704,0.965
4103750213,All,20,04/01/2017 09:30,22.032,0,44.064,45.885,0.96
4103750213,All,21,04/01/2017 10:00,22.176,0,44.352,46.4,0.956
4103750213,All,22,04/01/2017 10:30,22.72,0,45.44,47.413,0.958
4103750213,All,23,04/01/2017 11:00,21.872,0,43.744,45.79,0.955
4103750213,All,24,04/01/2017 11:30,23.744,0,47.488,49.327,0.963
4103750213,All,25,04/01/2017 12:00,23.712,0,47.424,49.266,0.963
4103750213,All,26,04/01/2017 12:30,21.312,0,42.624,44.674,0.954
4103750213,All,27,04/01/2017 13:00,22.352,0,44.704,46.671,0.958
4103750213,All,28,04/01/2017 13:30,22.352,0,44.704,46.644,0.958
4103750213,All,29,04/01/2017 14:00,23.04,0,46.08,48.027,0.959
4103750213,All,30,04/01/2017 14:30,22.944,0,45.888,47.825,0.96
4103750213,All,31,04/01/2017 15:00,22.672,0,45.344,47.276,0.959
4103750213,All,32,04/01/2017 15:30,21.28,0,42.56,44.661,0.953
4103750213,All,33,04/01/2017 16:00,22.912,0,45.824,47.621,0.962
4103750213,All,34,04/01/2017 16:30,23.232,0,46.464,48.36,0.961
4103750213,All,35,04/01/2017 17:00,23.504,0,47.008,48.981,0.96
4103750213,All,36,04/01/2017 17:30,22.736,0,45.472,47.417,0.959
4103750213,All,37,04/01/2017 18:00,22.464,0,44.928,46.904,0.958
4103750213,All,38,04/01/2017 18:30,23.056,0,46.112,47.995,0.961
4103750213,All,39,04/01/2017 19:00,23.136,0,46.272,48.275,0.959
4103750213,All,40,04/01/2017 19:30,21.76,0,43.52,45.702,0.952
4103750213,All,41,04/01/2017 20:00,22.592,0,45.184,47.308,0.955
4103750213,All,42,04/01/2017 20:30,21.664,0,43.328,45.161,0.959
