Read datetime,Export kWh,Import kWh,Net kWh,Export kVARh,Import kVARh,kW Demand,kVA Demand,Power Factor%,,
1/08/2019 0:00,175.1,0,175.1,1.1,0,350.2,350.207,100,,
1/08/2019 0:30,175.8,0,175.8,1.8,0,351.6,351.618,100,,
1/08/2019 1:00,173.1,0,173.1,1.2,0,346.2,346.208,100,,261645.1
1/08/2019 1:30,177,0,177,4.8,0,354,354.13,100,,619190.9
1/08/2019 2:00,175.8,0,175.8,4.1,0,351.6,351.696,100,,880836
1/08/2019 2:30,177.1,0,177.1,2.4,0,354.2,354.233,100,,18350.75
1/08/2019 3:00,200.3,0,200.3,6.5,0,400.6,400.811,99.9,,199.4646739
1/08/2019 3:30,201.7,0,201.7,5.3,0,403.4,403.539,100,,
1/08/2019 4:00,198.4,0,198.4,5.7,0,396.8,396.964,100,,
1/08/2019 4:30,197.1,0,197.1,3.6,0,394.2,394.266,100,,
1/08/2019 5:00,184.4,0,184.4,0.1,0,368.8,368.8,100,,
1/08/2019 5:30,200.5,0,200.5,0,0,401,401,100,,
1/08/2019 6:00,192.5,0,192.5,0,0,385,385,100,,
1/08/2019 6:30,213,0,213,16.4,0,426,427.261,99.7,,
1/08/2019 7:00,223.7,0,223.7,21.5,0,447.4,449.462,99.5,,
1/08/2019 7:30,237.4,0,237.4,21.1,0,474.8,476.672,99.6,,
1/08/2019 8:00,236,0,236,22.8,0,472,474.198,99.5,,
1/08/2019 8:30,230.7,0,230.7,21.2,0,461.4,463.344,99.6,,
1/08/2019 9:00,227.1,0,227.1,19.5,0,454.2,455.871,99.6,,
1/08/2019 9:30,223.8,0,223.8,23.5,0,447.6,450.061,99.5,,
1/08/2019 10:00,211.7,0,211.7,20.4,0,423.4,425.361,99.5,,
1/08/2019 10:30,201.9,0,201.9,16,0,403.8,405.066,99.7,,
1/08/2019 11:00,207.3,0,207.3,17.6,0,414.6,416.092,99.6,,
1/08/2019 11:30,210.8,0,210.8,18.1,0,421.6,423.151,99.6,,
1/08/2019 12:00,211,0,211,21,0,422,424.085,99.5,,
1/08/2019 12:30,197.8,0,197.8,16.6,0,395.6,396.991,99.6,,
1/08/2019 13:00,202,0,202,17.8,0,404,405.565,99.6,,
1/08/2019 13:30,188.9,0,188.9,12.3,0,377.8,378.6,99.8,,
1/08/2019 14:00,157.9,0,157.9,0,0,315.8,315.8,100,,
1/08/2019 14:30,161.8,0,161.8,0,0,323.6,323.6,100,,
1/08/2019 15:00,160.6,0,160.6,0,0,321.2,321.2,100,,
1/08/2019 15:30,159.7,0,159.7,0,0,319.4,319.4,100,,
1/08/2019 16:00,150.6,0,150.6,0,0,301.2,301.2,100,,
1/08/2019 16:30,148.8,0,148.8,0,0,297.6,297.6,100,,
1/08/2019 17:00,164.7,0,164.7,0,0,329.4,329.4,100,,
1/08/2019 17:30,168.9,0,168.9,0,0,337.8,337.8,100,,
1/08/2019 18:00,175,0,175,0,0,350,350,100,,
1/08/2019 18:30,173.3,0,173.3,0,0,346.6,346.6,100,,
1/08/2019 19:00,161.7,0,161.7,0,0,323.4,323.4,100,,
1/08/2019 19:30,150.4,0,150.4,0,0,300.8,300.8,100,,
1/08/2019 20:00,143,0,143,0,0,286,286,100,,
1/08/2019 20:30,141.4,0,141.4,0,0,282.8,282.8,100,,
1/08/2019 21:00,135.4,0,135.4,0,0,270.8,270.8,100,,
1/08/2019 21:30,163.6,0,163.6,0,0,327.2,327.2,100,,
1/08/2019 22:00,174.2,0,174.2,0,0,348.4,348.4,100,,
1/08/2019 22:30,172.4,0,172.4,0,0,344.8,344.8,100,,
1/08/2019 23:00,170.5,0,170.5,0,0,341,341,100,,
1/08/2019 23:30,137.9,0,137.9,0,0,275.8,275.8,100,,
2/08/2019 0:00,137.8,0,137.8,0,0,275.6,275.6,100,,
2/08/2019 0:30,138.6,0,138.6,0,0,277.2,277.2,100,,
2/08/2019 1:00,137.7,0,137.7,0,0,275.4,275.4,100,,
2/08/2019 1:30,138.5,0,138.5,0,0,277,277,100,,
2/08/2019 2:00,140,0,140,0,0,280,280,100,,
2/08/2019 2:30,140.4,0,140.4,0,0,280.8,280.8,100,,
2/08/2019 3:00,140.8,0,140.8,0,0,281.6,281.6,100,,
2/08/2019 3:30,144.8,0,144.8,0,0,289.6,289.6,100,,
2/08/2019 4:00,146.4,0,146.4,0,0,292.8,292.8,100,,
2/08/2019 4:30,149.2,0,149.2,0,0,298.4,298.4,100,,
2/08/2019 5:00,170.5,0,170.5,0.1,0,341,341,100,,
2/08/2019 5:30,217.7,0,217.7,0,0,435.4,435.4,100,,
2/08/2019 6:00,205.7,0,205.7,0.1,0,411.4,411.4,100,,
