NMI,Date,Time,kWh,kVArh,kW,kVA,PF,Peak_kWh,Off_Peak_kWh,DateNumber
SAAAAAC089,1/7/2016,12:30:00 AM,25.41,10.71,50.83,55.15,0.92,,25.41,20160701
SAAAAAC089,1/7/2016,1:00:00 AM,17.21,8.25,34.43,38.18,0.9,,17.21,20160701
SAAAAAC089,1/7/2016,1:30:00 AM,14.18,6.07,28.36,30.85,0.91,,14.18,20160701
SAAAAAC089,1/7/2016,2:00:00 AM,14.82,6.71,29.64,32.54,0.91,,14.82,20160701
SAAAAAC089,1/7/2016,2:30:00 AM,14.45,6.55,28.91,31.74,0.91,,14.45,20160701
SAAAAAC089,1/7/2016,3:00:00 AM,13.46,5.25,26.92,28.9,0.93,,13.46,20160701
SAAAAAC089,1/7/2016,3:30:00 AM,14.16,5.83,28.33,30.63,0.92,,14.16,20160701
SAAAAAC089,1/7/2016,4:00:00 AM,13.81,5.47,27.63,29.72,0.92,,13.81,20160701
SAAAAAC089,1/7/2016,4:30:00 AM,13.64,5.34,27.29,29.31,0.93,,13.64,20160701
SAAAAAC089,1/7/2016,5:00:00 AM,13.32,5.62,26.64,28.91,0.92,,13.32,20160701
SAAAAAC089,1/7/2016,5:30:00 AM,13.92,5.91,27.84,30.25,0.92,,13.92,20160701
SAAAAAC089,1/7/2016,6:00:00 AM,15.74,5.07,31.48,33.08,0.95,,15.74,20160701
SAAAAAC089,1/7/2016,6:30:00 AM,16.88,3.47,33.77,34.48,0.97,,16.88,20160701
SAAAAAC089,1/7/2016,7:00:00 AM,17.03,3.52,34.06,34.78,0.97,,17.03,20160701
SAAAAAC089,1/7/2016,7:30:00 AM,17.61,3.73,35.23,36.01,0.97,17.61,,20160701
SAAAAAC089,1/7/2016,8:00:00 AM,17.94,5.04,35.88,37.27,0.96,17.94,,20160701
SAAAAAC089,1/7/2016,8:30:00 AM,18.18,5.65,36.36,38.08,0.95,18.18,,20160701
SAAAAAC089,1/7/2016,9:00:00 AM,18.04,3.93,36.08,36.92,0.97,18.04,,20160701
SAAAAAC089,1/7/2016,9:30:00 AM,20.04,5.07,40.08,41.34,0.96,20.04,,20160701
SAAAAAC089,1/7/2016,10:00:00 AM,24.55,6.79,49.1,50.94,0.96,24.55,,20160701
SAAAAAC089,1/7/2016,10:30:00 AM,34.49,11.23,68.99,72.55,0.95,34.49,,20160701
SAAAAAC089,1/7/2016,11:00:00 AM,35.85,12.72,71.71,76.09,0.94,35.85,,20160701
SAAAAAC089,1/7/2016,11:30:00 AM,38.68,14.95,77.37,82.95,0.93,38.68,,20160701
SAAAAAC089,1/7/2016,12:00:00 PM,38.66,14.19,77.32,82.37,0.93,38.66,,20160701
SAAAAAC089,1/7/2016,12:30:00 PM,31.2,10.63,62.4,65.92,0.94,31.2,,20160701
SAAAAAC089,1/7/2016,1:00:00 PM,34.86,11.76,69.72,73.59,0.94,34.86,,20160701
SAAAAAC089,1/7/2016,1:30:00 PM,33.17,10.59,66.35,69.65,0.95,33.17,,20160701
SAAAAAC089,1/7/2016,2:00:00 PM,32.18,9.9,64.36,67.34,0.95,32.18,,20160701
SAAAAAC089,1/7/2016,2:30:00 PM,34.2,8.75,68.41,70.61,0.96,34.2,,20160701
SAAAAAC089,1/7/2016,3:00:00 PM,35.57,9.94,71.15,73.87,0.96,35.57,,20160701
SAAAAAC089,1/7/2016,3:30:00 PM,34.84,10.16,69.68,72.58,0.96,34.84,,20160701
SAAAAAC089,1/7/2016,4:00:00 PM,34.08,11.76,68.16,72.1,0.94,34.08,,20160701
SAAAAAC089,1/7/2016,4:30:00 PM,31.28,9.19,62.57,65.21,0.95,31.28,,20160701
SAAAAAC089,1/7/2016,5:00:00 PM,33.56,7.69,67.13,68.87,0.97,33.56,,20160701
SAAAAAC089,1/7/2016,5:30:00 PM,41.23,10.93,82.46,85.31,0.96,41.23,,20160701
SAAAAAC089,1/7/2016,6:00:00 PM,41.91,13.88,83.82,88.3,0.94,41.91,,20160701
SAAAAAC089,1/7/2016,6:30:00 PM,46.64,14.91,93.28,97.93,0.95,46.64,,20160701
SAAAAAC089,1/7/2016,7:00:00 PM,45.63,14.3,91.26,95.64,0.95,45.63,,20160701
SAAAAAC089,1/7/2016,7:30:00 PM,46.49,14.36,92.99,97.32,0.95,46.49,,20160701
SAAAAAC089,1/7/2016,8:00:00 PM,48.06,15.03,96.12,100.71,0.95,48.06,,20160701
SAAAAAC089,1/7/2016,8:30:00 PM,44.79,11.82,89.58,92.64,0.96,44.79,,20160701
SAAAAAC089,1/7/2016,9:00:00 PM,47.47,14.49,94.94,99.27,0.95,47.47,,20160701
SAAAAAC089,1/7/2016,9:30:00 PM,43.49,13.61,86.99,91.15,0.95,,43.49,20160701
