Account Number ,9999653687
Start Date ,26-Mar-2024
End Date ,29-Mar-2024


NMI,Meter Serial Number,Stream,Suffix,Register Description,UOM,Reading Date,Reading Start Time,Reading End Time,Units,Read Type
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,23:55,00:00,0.006,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,23:50,23:55,0.007,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,23:45,23:50,0.006,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,23:40,23:45,0.007,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,23:35,23:40,0.006,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,23:30,23:35,0.007,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,23:25,23:30,0.006,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,23:20,23:25,0.007,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,23:15,23:20,0.007,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,23:10,23:15,0.008,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,23:05,23:10,0.007,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,23:00,23:05,0.007,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,22:55,23:00,0.008,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,22:50,22:55,0.007,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,22:45,22:50,0.007,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,22:40,22:45,0.006,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,22:35,22:40,0.006,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,22:30,22:35,0.006,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,22:25,22:30,0.005,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,22:20,22:25,0.006,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,22:15,22:20,0.006,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,22:10,22:15,0.006,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,22:05,22:10,0.006,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,22:00,22:05,0.003,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,21:55,22:00,0.017,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,21:50,21:55,0.018,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,21:45,21:50,0.019,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,21:40,21:45,0.019,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,21:35,21:40,0.003,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,21:30,21:35,0.005,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,21:25,21:30,0.007,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,21:20,21:25,0.007,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,21:15,21:20,0.009,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,21:10,21:15,0.008,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,21:05,21:10,0.008,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,21:00,21:05,0.008,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,20:55,21:00,0.008,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,20:50,20:55,0.008,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,20:45,20:50,0.007,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,20:40,20:45,0.013,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,20:35,20:40,0.02,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,20:30,20:35,0.018,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,20:25,20:30,0.018,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,20:20,20:25,0.017,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,20:15,20:20,0.018,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,20:10,20:15,0.04,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,20:05,20:10,0.021,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,20:00,20:05,0.02,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,19:55,20:00,0.024,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,19:50,19:55,0.024,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,19:45,19:50,0.024,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,19:40,19:45,0.031,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,19:35,19:40,0.132,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,19:30,19:35,0.119,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,19:25,19:30,0.077,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,19:20,19:25,0.031,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,19:15,19:20,0.008,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,19:10,19:15,0.004,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,19:05,19:10,0.031,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,19:00,19:05,0.005,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,18:55,19:00,0.029,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,18:50,18:55,0.005,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,18:45,18:50,0.007,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,18:40,18:45,0.008,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,18:35,18:40,0.008,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,18:30,18:35,0.008,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,18:25,18:30,0.008,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,18:20,18:25,0.006,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,18:15,18:20,0.013,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,18:10,18:15,0.005,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,18:05,18:10,0.006,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,18:00,18:05,0.005,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,17:55,18:00,0.005,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,17:50,17:55,0.006,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,17:45,17:50,0.005,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,17:40,17:45,0.006,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,17:35,17:40,0.005,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,17:30,17:35,0.006,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,17:25,17:30,0.007,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,17:20,17:25,0.005,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,17:15,17:20,0.004,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,17:10,17:15,0.044,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,17:05,17:10,0.063,Actual
70013278048,ED041601060,E1,E1,Peak,kWh,28/03/2024,17:00,17:05,0.003,Actual
