# Version: powershare 1.0.0
datetime_utc,datetime_local,total_watt_hours_in,total_watt_hours_out
2025-10-16 01:22:46,2025-10-16 11:52:46,34869,0
2025-10-16 01:23:00,2025-10-16 11:53:00,34872,0
2025-10-16 01:24:00,2025-10-16 11:54:00,34883,0
2025-10-16 01:25:00,2025-10-16 11:55:00,34894,0
2025-10-16 01:26:00,2025-10-16 11:56:00,34904,0
2025-10-16 01:27:00,2025-10-16 11:57:00,34914,0
2025-10-16 01:28:00,2025-10-16 11:58:00,34923,0
2025-10-16 01:29:00,2025-10-16 11:59:00,34932,0
2025-10-16 01:30:00,2025-10-16 12:00:00,34941,0
2025-10-16 01:31:00,2025-10-16 12:01:00,34950,0
2025-10-16 01:32:00,2025-10-16 12:02:00,34976,0
2025-10-16 01:33:00,2025-10-16 12:03:00,35004,0
2025-10-16 01:34:00,2025-10-16 12:04:00,35031,0
2025-10-16 01:35:00,2025-10-16 12:05:00,35058,0
2025-10-16 01:36:00,2025-10-16 12:06:00,35085,0
2025-10-16 01:37:00,2025-10-16 12:07:00,35111,0
2025-10-16 01:38:00,2025-10-16 12:08:00,35136,0
2025-10-16 01:39:00,2025-10-16 12:09:00,35159,0
2025-10-16 01:40:00,2025-10-16 12:10:00,35181,0
2025-10-16 01:41:00,2025-10-16 12:11:00,35203,0
2025-10-16 01:42:00,2025-10-16 12:12:00,35226,0
2025-10-16 01:43:00,2025-10-16 12:13:00,35248,0
2025-10-16 01:44:00,2025-10-16 12:14:00,35271,0
2025-10-16 01:45:00,2025-10-16 12:15:00,35291,0
2025-10-16 01:46:00,2025-10-16 12:16:00,35315,0
2025-10-16 01:47:00,2025-10-16 12:17:00,35333,0
2025-10-16 01:48:00,2025-10-16 12:18:00,35353,0
2025-10-16 01:49:00,2025-10-16 12:19:00,35378,0
2025-10-16 01:50:00,2025-10-16 12:20:00,35411,0
2025-10-16 01:51:00,2025-10-16 12:21:00,35444,0
2025-10-16 01:52:00,2025-10-16 12:22:00,35477,0
2025-10-16 01:53:00,2025-10-16 12:23:00,35501,0
2025-10-16 01:54:00,2025-10-16 12:24:00,35523,0
2025-10-16 01:55:00,2025-10-16 12:25:00,35544,0
2025-10-16 01:56:00,2025-10-16 12:26:00,35571,0
2025-10-16 01:57:00,2025-10-16 12:27:00,35594,0
2025-10-16 01:58:00,2025-10-16 12:28:00,35613,0
2025-10-16 01:59:05,2025-10-16 12:29:05,35636,0
2025-10-16 02:00:00,2025-10-16 12:30:00,35652,0
2025-10-16 02:01:00,2025-10-16 12:31:00,35669,0
2025-10-16 02:02:00,2025-10-16 12:32:00,35684,0
2025-10-16 02:03:00,2025-10-16 12:33:00,35700,0
2025-10-16 02:04:00,2025-10-16 12:34:00,35718,0
2025-10-16 02:05:00,2025-10-16 12:35:00,35735,0
2025-10-16 02:06:00,2025-10-16 12:36:00,35753,0
2025-10-16 02:07:00,2025-10-16 12:37:00,35769,0
2025-10-16 02:08:00,2025-10-16 12:38:00,35782,0
2025-10-16 02:09:00,2025-10-16 12:39:00,35793,0
2025-10-16 02:10:00,2025-10-16 12:40:00,35806,0
2025-10-16 02:11:00,2025-10-16 12:41:00,35821,0
2025-10-16 02:12:00,2025-10-16 12:42:00,35837,0
2025-10-16 02:13:00,2025-10-16 12:43:00,35864,0
2025-10-16 02:14:00,2025-10-16 12:44:00,35908,0
2025-10-16 02:15:00,2025-10-16 12:45:00,35952,0
2025-10-16 02:16:00,2025-10-16 12:46:00,35991,0
2025-10-16 02:17:00,2025-10-16 12:47:00,36022,0
2025-10-16 02:18:00,2025-10-16 12:48:00,36048,0
2025-10-16 02:19:00,2025-10-16 12:49:00,36074,0
2025-10-16 02:20:00,2025-10-16 12:50:00,36098,0
2025-10-16 02:21:00,2025-10-16 12:51:00,36123,0
2025-10-16 02:22:00,2025-10-16 12:52:00,36145,0
2025-10-16 02:23:00,2025-10-16 12:53:00,36161,0
2025-10-16 02:24:00,2025-10-16 12:54:00,36175,0
2025-10-16 02:25:00,2025-10-16 12:55:00,36188,0
2025-10-16 02:26:00,2025-10-16 12:56:00,36200,0
2025-10-16 02:27:00,2025-10-16 12:57:00,36211,0
2025-10-16 02:28:00,2025-10-16 12:58:00,36221,0
2025-10-16 02:29:00,2025-10-16 12:59:00,36231,0
2025-10-16 02:30:00,2025-10-16 13:00:00,36241,0
2025-10-16 02:31:00,2025-10-16 13:01:00,36251,0
2025-10-16 02:32:00,2025-10-16 13:02:00,36261,0
2025-10-16 02:33:00,2025-10-16 13:03:00,36272,0
2025-10-16 02:34:00,2025-10-16 13:04:00,36282,0
2025-10-16 02:35:01,2025-10-16 13:05:01,36291,0
2025-10-16 02:36:00,2025-10-16 13:06:00,36300,0
2025-10-16 02:37:00,2025-10-16 13:07:00,36307,0
2025-10-16 02:38:00,2025-10-16 13:08:00,36314,0
2025-10-16 02:39:00,2025-10-16 13:09:00,36321,0
2025-10-16 02:40:00,2025-10-16 13:10:00,36327,0
2025-10-16 02:41:00,2025-10-16 13:11:00,36333,0
2025-10-16 02:42:00,2025-10-16 13:12:00,36338,0
2025-10-16 02:43:00,2025-10-16 13:13:00,36342,0
2025-10-16 02:44:00,2025-10-16 13:14:00,36347,0
2025-10-16 02:45:00,2025-10-16 13:15:00,36351,0
2025-10-16 02:46:00,2025-10-16 13:16:00,36355,0
2025-10-16 02:47:00,2025-10-16 13:17:00,36359,0
2025-10-16 02:48:00,2025-10-16 13:18:00,36364,0
2025-10-16 02:49:00,2025-10-16 13:19:00,36368,0
2025-10-16 02:50:00,2025-10-16 13:20:00,36372,0
2025-10-16 02:51:00,2025-10-16 13:21:00,36376,0
2025-10-16 02:52:00,2025-10-16 13:22:00,36380,0
2025-10-16 02:53:00,2025-10-16 13:23:00,36385,0
2025-10-16 02:54:00,2025-10-16 13:24:00,36390,0
2025-10-16 02:55:00,2025-10-16 13:25:00,36395,0
2025-10-16 02:56:00,2025-10-16 13:26:00,36401,0
2025-10-16 02:57:00,2025-10-16 13:27:00,36406,0
2025-10-16 02:58:00,2025-10-16 13:28:00,36412,0
2025-10-16 02:59:00,2025-10-16 13:29:00,36418,0
2025-10-16 03:00:00,2025-10-16 13:30:00,36424,0
2025-10-16 03:01:00,2025-10-16 13:31:00,36430,0
2025-10-16 03:02:00,2025-10-16 13:32:00,36434,0
2025-10-16 03:03:00,2025-10-16 13:33:00,36438,0
2025-10-16 03:04:00,2025-10-16 13:34:00,36442,0
2025-10-16 03:05:00,2025-10-16 13:35:00,36445,0
2025-10-16 03:06:00,2025-10-16 13:36:00,36449,0
2025-10-16 03:07:00,2025-10-16 13:37:00,36452,0
2025-10-16 03:08:00,2025-10-16 13:38:00,36456,0
2025-10-16 03:09:00,2025-10-16 13:39:00,36461,0
2025-10-16 03:10:00,2025-10-16 13:40:00,36467,0
2025-10-16 03:11:00,2025-10-16 13:41:00,36474,0
2025-10-16 03:12:00,2025-10-16 13:42:00,36483,0
2025-10-16 03:13:00,2025-10-16 13:43:00,36493,0
2025-10-16 03:14:00,2025-10-16 13:44:00,36506,0
2025-10-16 03:15:00,2025-10-16 13:45:00,36521,0
2025-10-16 03:16:00,2025-10-16 13:46:00,36534,0
2025-10-16 03:17:00,2025-10-16 13:47:00,36553,0
2025-10-16 03:18:00,2025-10-16 13:48:00,36566,0
